,id_pedido,id_cliente,date_purchase,time_purchase,viacao,fk_return_ota_bus_company,valor_total_compra,qtd_passagens,origem,uf_origem,destino,uf_destino,origem_retorno,destino_retorno,rota,rota_retorno,valor_passagem,cluster,nome_cluster,distancia_km,pontos,reais
0,bc02d5245bec63b30ff1102fa273fc03f58bc9cc3f674ef1fee010c95dcbbab9,a7218ff4ee7d37d48d2b4391b955627cb089870b934912e039288d3a28c3f210,2018-12-26,15:33:35,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,1,89.09,1,Caapiranga,AM,Miraguaí,RS,,,Caapiranga - Miraguaí,,89.09,2,viajantes_grupo,,0.0,0.0
1,5432f12612dd5d749b3be880e779989cf63b5efa4bcc4e76c53e661b07ed7fb8,37228485e0dc83d84d1bcd1bef3dc632301bf6cb22c8b52e8fcd8ae7c503544b,2018-12-05,15:07:57,36ebe205bcdfc499a25e6923f4450fa8d48196ceb4fa0ce077d9d8ec4a36926d,1,155.97,1,São Braz do Piauí,PI,São Rafael,RN,,,São Braz do Piauí - São Rafael,,155.97,1,viajantes_ocasionais,972.952,29.18856,12.0
2,fb3caed9b2f1b6016d45ccddb19095476e61a2c85faa8ec869b8b02d6c729858,3467ec081e2421e72c96e7203b929d21927fd00b6b5f28574f88bbdf2702d02a,2018-12-21,18:41:54,ec2e990b934dde55cb87300629cedfc21b15cd28bbcf77d8bbdc55359d7689da,1,121.99,1,Lavínia,SP,Campo Erê,SC,,,Lavínia - Campo Erê,,121.99,0,viajantes_frequentes,813.661,32.54644,13.0
3,4dc44a6dd592b702feccb493d192210c86965aee68452989fa44926bd8e0a421,ab3251a2be0f69713b8f97b0e9d1579e31551f4fd4facfad94978b417058b424,2018-12-06,14:01:38,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca,1,55.22,1,Taipas do Tocantins,TO,Luiziânia,SP,,,Taipas do Tocantins - Luiziânia,,55.22,1,viajantes_ocasionais,1394.731,41.84193,17.0
4,aa34ed7fd0a6b405df2df1bf9f8d68e6df9b9a868a6181f2a990463e6eec11d3,ceea0de820a6379f2c4215bddaec66c33994b304607e56d801cfcb2d5d57bded,2021-02-23,20:08:25,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,1,45.31,1,Lavínia,SP,Santa Rita de Caldas,MG,,,Lavínia - Santa Rita de Caldas,,45.31,1,viajantes_ocasionais,603.527,18.10581,7.0
5,948356b25b90c0c87c147cead27483c481edda1dacc4c8c7d8d1ddde6b61738a,37f13b6dae3cfd6e82caf88c4e361a5b2035b66c383ba2f523229a77ced2d91e,2021-02-11,22:25:15,1dfacb2ea5a03e0a915999e03b5a56196f1b1664d2f768d1b7eff60ac059789d,1,154.2,1,Belo Vale,MG,Heitoraí,GO,,,Belo Vale - Heitoraí,,154.2,1,viajantes_ocasionais,1029.66,30.8898,12.0
6,2ee9d0978acb5e113d0b3f846ab3f88c5a426321da8f8752145e5a725d73c1c6,e15109b0b8e9f6f1554e560837eb55543f035f91d8be4f7b3780963fd838a06f,2021-02-19,19:11:40,1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,1,188.99,1,Indiavaí,MT,Tijucas do Sul,PR,,,Indiavaí - Tijucas do Sul,,188.99,1,viajantes_ocasionais,2114.426,63.432779999999994,25.0
7,92c004fb7013d0b6cc363bf860b63ebcb4ab8827f4c2b20212fb6792a813aa9e,ec66b05934a8d00f661257ea91874241fccb4fb128028d3655a0ef3f9d47816b,2020-12-03,09:16:29,3068430da9e4b7a674184035643d9e19af3dc7483e31cc03b35f75268401df77,1,232.96,1,Lavínia,SP,São Bernardino,SC,,,Lavínia - São Bernardino,,232.96,0,viajantes_frequentes,833.082,33.32328,13.0
8,bca8674d4af2f864efd8207b49612927ffffa9a74eb5fc5920ccec274e8247b2,c2f1df0f691e1830892c5557674c5cdce2d99370fc8a849835e45e809325ee13,2020-12-04,08:28:26,35135aaa6cc23891b40cb3f378c53a17a1127210ce60e125ccf03efcfdaec458,1,23.3,1,Paragominas,PA,Taipas do Tocantins,TO,,,Paragominas - Taipas do Tocantins,,23.3,1,viajantes_ocasionais,1283.505,38.50515,15.0
9,929cd361c225ec5d3510e14e8582fdcc61a24383cdb7a70c708ff3d643e60e4a,f914295cdc6f40aae952cd1457650eac8a6f74a57a49232a9342d0a309230360,2021-07-02,11:41:19,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894,1,61.55,1,Santa Cruz Cabrália,BA,Paraíso do Sul,RS,,,Santa Cruz Cabrália - Paraíso do Sul,,61.55,1,viajantes_ocasionais,2914.954,87.44862,35.0
10,f08c3f551a19f1ce13525825dbf0d0ce9c3492da92bbb29405d86d1abf454f78,17427df9b085e934834e8fe1b6bce73f46f75facfa7f91a4e162fa2fe519502d,2022-07-14,10:16:52,96061e92f58e4bdcdee73df36183fe3ac64747c81c26f6c83aada8d2aabb1864,1,55.46,1,Maracaí,SP,Tamboril,CE,,,Maracaí - Tamboril,,55.46,0,viajantes_frequentes,2813.103,112.52412000000001,45.0
11,490f708f362e424df4d32bf56a6b9b17e013b29dc04d8103eb0c3b9bfabff8e3,cf95d567cc38355ed310d70e5d43fb4af67a0373c7282dbfb07ae848330f8b7a,2022-07-05,12:35:35,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,1,47.7,1,Lavínia,SP,Santa Rita de Caldas,MG,,,Lavínia - Santa Rita de Caldas,,47.7,1,viajantes_ocasionais,603.527,18.10581,7.0
12,17812b21f6135be002d24fad99d3544126cc571bfbffec926aebcaef119ff2d7,61e066c82555f12735c8bbebc59d12f919d7814f4510ed20b4eaba273e1e3965,2016-09-11,11:05:18,5d389f5e2e34c6b0bad96581c22cee0be36dcf627cd73af4d4cccacd9ef40cc3,1,181.83,1,Painel,SC,Santa Brígida,BA,,,Painel - Santa Brígida,,181.83,1,viajantes_ocasionais,3004.696,90.14088,36.0
13,f27f543dd5a6207cf6949dc713ad73717f8cdeccebaf2b5f2dd4b2e636881628,2bda00506cf67ae2828006c8131bd215ada4943dd1738dc72ea71769f31e9b6a,2021-10-20,15:54:36,48449a14a4ff7d79bb7a1b6f3d488eba397c36ef25634c111b49baf362511afc,1,42.7,1,Lavínia,SP,Santa Rita de Caldas,MG,,,Lavínia - Santa Rita de Caldas,,42.7,0,viajantes_frequentes,603.527,24.141080000000002,10.0
14,0d9270305b3b09404418092ed4a1c01d887974fe9d6015649c942641524a3c61,3265420405fa6251960db35d01bcdc0af0eda2dfaf5b963ba8017d3c7a05209a,2019-12-15,16:24:31,dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,1,46.76,1,Taipas do Tocantins,TO,Gurinhém,PB,,,Taipas do Tocantins - Gurinhém,,46.76,0,viajantes_frequentes,1784.805,71.3922,29.0
15,209ce6090edeeb8a4fbb1d0ee028630921f5d6288f442e74cb328e133cbac51f,7c371df88bf42570a41524acf6d0db9f4ec1f0631df16ca7d92c04a1397f1eae,2021-04-29,23:57:52,dbae772db29058a88f9bd830e957c695347c41b6162a7eb9a9ea13def34be56b,1,49.97,1,Taipas do Tocantins,TO,Gurinhém,PB,,,Taipas do Tocantins - Gurinhém,,49.97,1,viajantes_ocasionais,1784.805,53.54415,21.0
16,7fdcd3e03f08ecea34edbe57ac88e0c8c2ef2645eceb402121391d7afff97d50,e15109b0b8e9f6f1554e560837eb55543f035f91d8be4f7b3780963fd838a06f,2021-04-09,09:25:08,1d0ebea552eb43d0b1e1561f6de8ae92e3de7f1abec52399244d1caed7dbdfa6,1,187.57,1,Indiavaí,MT,Tijucas do Sul,PR,,,Indiavaí - Tijucas do Sul,,187.57,1,viajantes_ocasionais,2114.426,63.432779999999994,25.0
